name,role,type,demographic,description,units,missing_values
ID,Feature,Categorical,,,,no
air_time1,Feature,Integer,,,,no
disp_index1,Feature,Categorical,,,,no
gmrt_in_air1,Feature,Continuous,,,,no
gmrt_on_paper1,Feature,Continuous,,,,no
max_x_extension1,Feature,Integer,,,,no
max_y_extension1,Feature,Integer,,,,no
mean_acc_in_air1,Feature,Continuous,,,,no
mean_acc_on_paper1,Feature,Continuous,,,,no
mean_gmrt1,Feature,Continuous,,,,no
mean_jerk_in_air1,Feature,Continuous,,,,no
mean_jerk_on_paper1,Feature,Continuous,,,,no
mean_speed_in_air1,Feature,Continuous,,,,no
mean_speed_on_paper1,Feature,Continuous,,,,no
num_of_pendown1,Feature,Integer,,,,no
paper_time1,Feature,Integer,,,,no
pressure_mean1,Feature,Continuous,,,,no
pressure_var1,Feature,Continuous,,,,no
total_time1,Feature,Integer,,,,no
air_time2,Feature,Integer,,,,no
disp_index2,Feature,Categorical,,,,no
gmrt_in_air2,Feature,Continuous,,,,no
gmrt_on_paper2,Feature,Continuous,,,,no
max_x_extension2,Feature,Integer,,,,no
max_y_extension2,Feature,Integer,,,,no
mean_acc_in_air2,Feature,Continuous,,,,no
mean_acc_on_paper2,Feature,Continuous,,,,no
mean_gmrt2,Feature,Continuous,,,,no
mean_jerk_in_air2,Feature,Continuous,,,,no
mean_jerk_on_paper2,Feature,Continuous,,,,no
mean_speed_in_air2,Feature,Continuous,,,,no
mean_speed_on_paper2,Feature,Continuous,,,,no
num_of_pendown2,Feature,Integer,,,,no
paper_time2,Feature,Integer,,,,no
pressure_mean2,Feature,Continuous,,,,no
pressure_var2,Feature,Continuous,,,,no
total_time2,Feature,Integer,,,,no
air_time3,Feature,Integer,,,,no
disp_index3,Feature,Categorical,,,,no
gmrt_in_air3,Feature,Continuous,,,,no
gmrt_on_paper3,Feature,Continuous,,,,no
max_x_extension3,Feature,Integer,,,,no
max_y_extension3,Feature,Integer,,,,no
mean_acc_in_air3,Feature,Continuous,,,,no
mean_acc_on_paper3,Feature,Continuous,,,,no
mean_gmrt3,Feature,Continuous,,,,no
mean_jerk_in_air3,Feature,Continuous,,,,no
mean_jerk_on_paper3,Feature,Continuous,,,,no
mean_speed_in_air3,Feature,Continuous,,,,no
mean_speed_on_paper3,Feature,Continuous,,,,no
num_of_pendown3,Feature,Integer,,,,no
paper_time3,Feature,Integer,,,,no
pressure_mean3,Feature,Continuous,,,,no
pressure_var3,Feature,Continuous,,,,no
total_time3,Feature,Integer,,,,no
air_time4,Feature,Integer,,,,no
disp_index4,Feature,Categorical,,,,no
gmrt_in_air4,Feature,Continuous,,,,no
gmrt_on_paper4,Feature,Continuous,,,,no
max_x_extension4,Feature,Integer,,,,no
max_y_extension4,Feature,Integer,,,,no
mean_acc_in_air4,Feature,Continuous,,,,no
mean_acc_on_paper4,Feature,Continuous,,,,no
mean_gmrt4,Feature,Continuous,,,,no
mean_jerk_in_air4,Feature,Continuous,,,,no
mean_jerk_on_paper4,Feature,Continuous,,,,no
mean_speed_in_air4,Feature,Continuous,,,,no
mean_speed_on_paper4,Feature,Continuous,,,,no
num_of_pendown4,Feature,Integer,,,,no
paper_time4,Feature,Integer,,,,no
pressure_mean4,Feature,Continuous,,,,no
pressure_var4,Feature,Continuous,,,,no
total_time4,Feature,Integer,,,,no
air_time5,Feature,Integer,,,,no
disp_index5,Feature,Categorical,,,,no
gmrt_in_air5,Feature,Continuous,,,,no
gmrt_on_paper5,Feature,Continuous,,,,no
max_x_extension5,Feature,Integer,,,,no
max_y_extension5,Feature,Integer,,,,no
mean_acc_in_air5,Feature,Continuous,,,,no
mean_acc_on_paper5,Feature,Continuous,,,,no
mean_gmrt5,Feature,Continuous,,,,no
mean_jerk_in_air5,Feature,Continuous,,,,no
mean_jerk_on_paper5,Feature,Continuous,,,,no
mean_speed_in_air5,Feature,Continuous,,,,no
mean_speed_on_paper5,Feature,Continuous,,,,no
num_of_pendown5,Feature,Integer,,,,no
