name,role,type,demographic,description,units,missing_values
behavior_eating,Feature,Integer,,,,no
behavior_personalHygiene,Feature,Integer,,,,no
intention_aggregation,Feature,Integer,,,,no
intention_commitment,Feature,Integer,,,,no
attitude_consistency,Feature,Integer,,,,no
attitude_spontaneity,Feature,Integer,,,,no
norm_significantPerson,Feature,Integer,,,,no
norm_fulfillment,Feature,Integer,,,,no
perception_vulnerability,Feature,Integer,,,,no
perception_severity,Feature,Integer,,,,no
motivation_strength,Feature,Integer,,,,no
motivation_willingness,Feature,Integer,,,,no
socialSupport_emotionality,Feature,Integer,,,,no
socialSupport_appreciation,Feature,Integer,,,,no
socialSupport_instrumental,Feature,Integer,,,,no
empowerment_knowledge,Feature,Integer,,,,no
empowerment_abilities,Feature,Integer,,,,no
empowerment_desires,Feature,Integer,,,,no
ca_cervix,Target,Binary,,,,no
behavior_sexualRisk,Feature,Integer,,,,no
