name,role,type,demographic,description,units,missing_values
Attribute1,Feature,Continuous,,,,no
Attribute2,Feature,Continuous,,,,no
Attribute3,Feature,Continuous,,,,no
Attribute4,Feature,Continuous,,,,no
Attribute5,Feature,Continuous,,,,no
Attribute6,Feature,Continuous,,,,no
Attribute7,Feature,Continuous,,,,no
Attribute8,Feature,Continuous,,,,no
Attribute9,Feature,Continuous,,,,no
Attribute10,Feature,Continuous,,,,no
Attribute11,Feature,Continuous,,,,no
Attribute12,Feature,Continuous,,,,no
Attribute13,Feature,Continuous,,,,no
Attribute14,Feature,Continuous,,,,no
Attribute15,Feature,Continuous,,,,no
Attribute16,Feature,Continuous,,,,no
Attribute17,Feature,Continuous,,,,no
Attribute18,Feature,Continuous,,,,no
Attribute19,Feature,Continuous,,,,no
Attribute20,Feature,Continuous,,,,no
Attribute21,Feature,Continuous,,,,no
Attribute22,Feature,Continuous,,,,no
Attribute23,Feature,Continuous,,,,no
Attribute24,Feature,Continuous,,,,no
Attribute25,Feature,Continuous,,,,no
Attribute26,Feature,Continuous,,,,no
Attribute27,Feature,Continuous,,,,no
Attribute28,Feature,Continuous,,,,no
Attribute29,Feature,Continuous,,,,no
Attribute30,Feature,Continuous,,,,no
Attribute31,Feature,Continuous,,,,no
Attribute32,Feature,Continuous,,,,no
Attribute33,Feature,Continuous,,,,no
Attribute34,Feature,Continuous,,,,no
Attribute35,Feature,Continuous,,,,no
Attribute36,Feature,Continuous,,,,no
Attribute37,Feature,Continuous,,,,no
Attribute38,Feature,Continuous,,,,no
Attribute39,Feature,Continuous,,,,no
Attribute40,Feature,Continuous,,,,no
Attribute41,Feature,Continuous,,,,no
Attribute42,Feature,Continuous,,,,no
Attribute43,Feature,Continuous,,,,no
Attribute44,Feature,Continuous,,,,no
Attribute45,Feature,Continuous,,,,no
Attribute46,Feature,Continuous,,,,no
Attribute47,Feature,Continuous,,,,no
Attribute48,Feature,Continuous,,,,no
Attribute49,Feature,Continuous,,,,no
Attribute50,Feature,Continuous,,,,no
Attribute51,Feature,Continuous,,,,no
Attribute52,Feature,Continuous,,,,no
Attribute53,Feature,Continuous,,,,no
Attribute54,Feature,Continuous,,,,no
Attribute55,Feature,Continuous,,,,no
Attribute56,Feature,Continuous,,,,no
Attribute57,Feature,Continuous,,,,no
Attribute58,Feature,Continuous,,,,no
Attribute59,Feature,Continuous,,,,no
Attribute60,Feature,Continuous,,,,no
class,Target,Categorical,,,,no
