name,role,type,demographic,description,units,missing_values
Attribute1,Feature,Continuous,,,,no
Attribute2,Feature,Continuous,,,,no
Attribute3,Feature,Continuous,,,,no
Attribute4,Feature,Continuous,,,,no
Attribute5,Feature,Continuous,,,,no
Attribute6,Feature,Continuous,,,,no
Attribute7,Feature,Continuous,,,,no
Attribute8,Feature,Continuous,,,,no
Attribute9,Feature,Continuous,,,,no
Attribute10,Feature,Continuous,,,,no
Attribute11,Feature,Continuous,,,,no
Attribute12,Feature,Continuous,,,,no
Attribute13,Feature,Continuous,,,,no
Attribute14,Feature,Continuous,,,,no
Attribute15,Feature,Continuous,,,,no
Attribute16,Feature,Continuous,,,,no
Attribute17,Feature,Continuous,,,,no
Attribute18,Feature,Continuous,,,,no
Attribute19,Feature,Continuous,,,,no
Attribute20,Feature,Continuous,,,,no
Attribute21,Feature,Continuous,,,,no
Attribute22,Feature,Continuous,,,,no
Attribute23,Feature,Continuous,,,,no
Attribute24,Feature,Continuous,,,,no
Attribute25,Feature,Continuous,,,,no
Attribute26,Feature,Continuous,,,,no
Attribute27,Feature,Continuous,,,,no
Attribute28,Feature,Continuous,,,,no
Attribute29,Feature,Continuous,,,,no
Attribute30,Feature,Continuous,,,,no
Attribute31,Feature,Continuous,,,,no
Attribute32,Feature,Continuous,,,,no
Attribute33,Feature,Continuous,,,,no
Attribute34,Feature,Continuous,,,,no
Attribute35,Feature,Continuous,,,,no
Attribute36,Feature,Continuous,,,,no
Attribute37,Feature,Continuous,,,,no
Attribute38,Feature,Continuous,,,,no
Attribute39,Feature,Continuous,,,,no
Attribute40,Feature,Continuous,,,,no
Attribute41,Feature,Continuous,,,,no
Attribute42,Feature,Continuous,,,,no
Attribute43,Feature,Continuous,,,,no
Attribute44,Feature,Continuous,,,,no
Attribute45,Feature,Continuous,,,,no
Attribute46,Feature,Continuous,,,,no
Attribute47,Feature,Continuous,,,,no
Attribute48,Feature,Continuous,,,,no
Attribute49,Feature,Continuous,,,,no
Attribute50,Feature,Continuous,,,,no
Attribute51,Feature,Continuous,,,,no
Attribute52,Feature,Continuous,,,,no
Attribute53,Feature,Continuous,,,,no
Attribute54,Feature,Continuous,,,,no
Attribute55,Feature,Continuous,,,,no
Attribute56,Feature,Continuous,,,,no
Attribute57,Feature,Continuous,,,,no
Attribute58,Feature,Continuous,,,,no
Attribute59,Feature,Continuous,,,,no
Attribute60,Feature,Continuous,,,,no
Attribute61,Feature,Continuous,,,,no
Attribute62,Feature,Continuous,,,,no
Attribute63,Feature,Continuous,,,,no
Attribute64,Feature,Continuous,,,,no
Attribute65,Feature,Continuous,,,,no
Attribute66,Feature,Continuous,,,,no
Attribute67,Feature,Continuous,,,,no
Attribute68,Feature,Continuous,,,,no
Attribute69,Feature,Continuous,,,,no
Attribute70,Feature,Continuous,,,,no
Attribute71,Feature,Continuous,,,,no
Attribute72,Feature,Continuous,,,,no
Attribute73,Feature,Continuous,,,,no
Attribute74,Feature,Continuous,,,,no
Attribute75,Feature,Continuous,,,,no
Attribute76,Feature,Continuous,,,,no
Attribute77,Feature,Continuous,,,,no
Attribute78,Feature,Continuous,,,,no
Attribute79,Feature,Continuous,,,,no
Attribute80,Feature,Continuous,,,,no
Attribute81,Feature,Continuous,,,,no
Attribute82,Feature,Continuous,,,,no
Attribute83,Feature,Continuous,,,,no
Attribute84,Feature,Continuous,,,,no
Attribute85,Feature,Continuous,,,,no
Attribute86,Feature,Continuous,,,,no
Attribute87,Feature,Continuous,,,,no
Attribute88,Feature,Continuous,,,,no
Attribute89,Feature,Continuous,,,,no
Attribute90,Feature,Continuous,,,,no
Attribute91,Feature,Continuous,,,,no
Attribute92,Feature,Continuous,,,,no
Attribute93,Feature,Continuous,,,,no
Attribute94,Feature,Continuous,,,,no
Attribute95,Feature,Continuous,,,,no
Attribute96,Feature,Continuous,,,,no
Attribute97,Feature,Continuous,,,,no
Attribute98,Feature,Continuous,,,,no
Attribute99,Feature,Continuous,,,,no
Attribute100,Feature,Continuous,,,,no
Attribute101,Feature,Continuous,,,,no
Attribute102,Feature,Continuous,,,,no
Attribute103,Feature,Continuous,,,,no
Attribute104,Feature,Continuous,,,,no
Attribute105,Feature,Continuous,,,,no
Attribute106,Feature,Continuous,,,,no
Attribute107,Feature,Continuous,,,,no
Attribute108,Feature,Continuous,,,,no
Attribute109,Feature,Continuous,,,,no
Attribute110,Feature,Continuous,,,,no
Attribute111,Feature,Continuous,,,,no
Attribute112,Feature,Continuous,,,,no
Attribute113,Feature,Continuous,,,,no
Attribute114,Feature,Continuous,,,,no
Attribute115,Feature,Continuous,,,,no
Attribute116,Feature,Continuous,,,,no
Attribute117,Feature,Continuous,,,,no
Attribute118,Feature,Continuous,,,,no
Attribute119,Feature,Continuous,,,,no
Attribute120,Feature,Continuous,,,,no
Attribute121,Feature,Continuous,,,,no
Attribute122,Feature,Continuous,,,,no
Attribute123,Feature,Continuous,,,,no
Attribute124,Feature,Continuous,,,,no
Attribute125,Feature,Continuous,,,,no
Attribute126,Feature,Continuous,,,,no
Attribute127,Feature,Continuous,,,,no
Attribute128,Feature,Continuous,,,,no
Attribute129,Feature,Continuous,,,,no
Attribute130,Feature,Continuous,,,,no
Attribute131,Feature,Continuous,,,,no
Attribute132,Feature,Continuous,,,,no
Attribute133,Feature,Continuous,,,,no
Attribute134,Feature,Continuous,,,,no
Attribute135,Feature,Continuous,,,,no
Attribute136,Feature,Continuous,,,,no
Attribute137,Feature,Continuous,,,,no
Attribute138,Feature,Continuous,,,,no
Attribute139,Feature,Continuous,,,,no
Attribute140,Feature,Continuous,,,,no
Attribute141,Feature,Continuous,,,,no
Attribute142,Feature,Continuous,,,,no
Attribute143,Feature,Continuous,,,,no
Attribute144,Feature,Continuous,,,,no
Attribute145,Feature,Continuous,,,,no
Attribute146,Feature,Continuous,,,,no
Attribute147,Feature,Continuous,,,,no
Attribute148,Feature,Continuous,,,,no
Attribute149,Feature,Continuous,,,,no
Attribute150,Feature,Continuous,,,,no
Attribute151,Feature,Continuous,,,,no
Attribute152,Feature,Continuous,,,,no
Attribute153,Feature,Continuous,,,,no
Attribute154,Feature,Continuous,,,,no
Attribute155,Feature,Continuous,,,,no
Attribute156,Feature,Continuous,,,,no
Attribute157,Feature,Continuous,,,,no
Attribute158,Feature,Continuous,,,,no
Attribute159,Feature,Continuous,,,,no
Attribute160,Feature,Continuous,,,,no
Attribute161,Feature,Continuous,,,,no
Attribute162,Feature,Continuous,,,,no
Attribute163,Feature,Continuous,,,,no
Attribute164,Feature,Continuous,,,,no
Attribute165,Feature,Continuous,,,,no
Attribute166,Feature,Continuous,,,,no
Attribute167,Feature,Continuous,,,,no
Attribute168,Feature,Continuous,,,,no
Attribute169,Feature,Continuous,,,,no
Attribute170,Feature,Continuous,,,,no
Attribute171,Feature,Continuous,,,,no
Attribute172,Feature,Continuous,,,,no
Attribute173,Feature,Continuous,,,,no
Attribute174,Feature,Continuous,,,,no
Attribute175,Feature,Continuous,,,,no
Attribute176,Feature,Continuous,,,,no
Attribute177,Feature,Continuous,,,,no
Attribute178,Feature,Continuous,,,,no
Attribute179,Feature,Continuous,,,,no
Attribute180,Feature,Continuous,,,,no
Attribute181,Feature,Continuous,,,,no
Attribute182,Feature,Continuous,,,,no
Attribute183,Feature,Continuous,,,,no
Attribute184,Feature,Continuous,,,,no
Attribute185,Feature,Continuous,,,,no
Attribute186,Feature,Continuous,,,,no
Attribute187,Feature,Continuous,,,,no
Attribute188,Feature,Continuous,,,,no
Attribute189,Feature,Continuous,,,,no
Attribute190,Feature,Continuous,,,,no
Attribute191,Feature,Continuous,,,,no
Attribute192,Feature,Continuous,,,,no
Attribute193,Feature,Continuous,,,,no
Attribute194,Feature,Continuous,,,,no
Attribute195,Feature,Continuous,,,,no
Attribute196,Feature,Continuous,,,,no
Attribute197,Feature,Continuous,,,,no
Attribute198,Feature,Continuous,,,,no
Attribute199,Feature,Continuous,,,,no
Attribute200,Feature,Continuous,,,,no
Attribute201,Feature,Continuous,,,,no
Attribute202,Feature,Continuous,,,,no
Attribute203,Feature,Continuous,,,,no
Attribute204,Feature,Continuous,,,,no
Attribute205,Feature,Continuous,,,,no
Attribute206,Feature,Continuous,,,,no
Attribute207,Feature,Continuous,,,,no
Attribute208,Feature,Continuous,,,,no
Attribute209,Feature,Continuous,,,,no
Attribute210,Feature,Continuous,,,,no
Attribute211,Feature,Continuous,,,,no
Attribute212,Feature,Continuous,,,,no
Attribute213,Feature,Continuous,,,,no
Attribute214,Feature,Continuous,,,,no
Attribute215,Feature,Continuous,,,,no
Attribute216,Feature,Continuous,,,,no
Attribute217,Feature,Continuous,,,,no
Attribute218,Feature,Continuous,,,,no
Attribute219,Feature,Continuous,,,,no
Attribute220,Feature,Continuous,,,,no
Attribute221,Feature,Continuous,,,,no
Attribute222,Feature,Continuous,,,,no
Attribute223,Feature,Continuous,,,,no
Attribute224,Feature,Continuous,,,,no
Attribute225,Feature,Continuous,,,,no
Attribute226,Feature,Continuous,,,,no
Attribute227,Feature,Continuous,,,,no
Attribute228,Feature,Continuous,,,,no
Attribute229,Feature,Continuous,,,,no
Attribute230,Feature,Continuous,,,,no
Attribute231,Feature,Continuous,,,,no
Attribute232,Feature,Continuous,,,,no
Attribute233,Feature,Continuous,,,,no
Attribute234,Feature,Continuous,,,,no
Attribute235,Feature,Continuous,,,,no
Attribute236,Feature,Continuous,,,,no
Attribute237,Feature,Continuous,,,,no
Attribute238,Feature,Continuous,,,,no
Attribute239,Feature,Continuous,,,,no
Attribute240,Feature,Continuous,,,,no
Attribute241,Feature,Continuous,,,,no
Attribute242,Feature,Continuous,,,,no
Attribute243,Feature,Continuous,,,,no
Attribute244,Feature,Continuous,,,,no
Attribute245,Feature,Continuous,,,,no
Attribute246,Feature,Continuous,,,,no
Attribute247,Feature,Continuous,,,,no
Attribute248,Feature,Continuous,,,,no
Attribute249,Feature,Continuous,,,,no
Attribute250,Feature,Continuous,,,,no
Attribute251,Feature,Continuous,,,,no
Attribute252,Feature,Continuous,,,,no
Attribute253,Feature,Continuous,,,,no
Attribute254,Feature,Continuous,,,,no
Attribute255,Feature,Continuous,,,,no
Attribute256,Feature,Continuous,,,,no
Attribute257,Feature,Continuous,,,,no
Attribute258,Feature,Continuous,,,,no
Attribute259,Feature,Continuous,,,,no
Attribute260,Feature,Continuous,,,,no
Attribute261,Feature,Continuous,,,,no
Attribute262,Feature,Continuous,,,,no
Attribute263,Feature,Continuous,,,,no
Attribute264,Feature,Continuous,,,,no
Attribute265,Feature,Continuous,,,,no
Attribute266,Feature,Continuous,,,,no
Attribute267,Feature,Continuous,,,,no
Attribute268,Feature,Continuous,,,,no
Attribute269,Feature,Continuous,,,,no
Attribute270,Feature,Continuous,,,,no
Attribute271,Feature,Continuous,,,,no
Attribute272,Feature,Continuous,,,,no
Attribute273,Feature,Continuous,,,,no
Attribute274,Feature,Continuous,,,,no
Attribute275,Feature,Continuous,,,,no
Attribute276,Feature,Continuous,,,,no
Attribute277,Feature,Continuous,,,,no
Attribute278,Feature,Continuous,,,,no
Attribute279,Feature,Continuous,,,,no
Attribute280,Feature,Continuous,,,,no
Attribute281,Feature,Continuous,,,,no
Attribute282,Feature,Continuous,,,,no
Attribute283,Feature,Continuous,,,,no
Attribute284,Feature,Continuous,,,,no
Attribute285,Feature,Continuous,,,,no
Attribute286,Feature,Continuous,,,,no
Attribute287,Feature,Continuous,,,,no
Attribute288,Feature,Continuous,,,,no
Attribute289,Feature,Continuous,,,,no
Attribute290,Feature,Continuous,,,,no
Attribute291,Feature,Continuous,,,,no
Attribute292,Feature,Continuous,,,,no
Attribute293,Feature,Continuous,,,,no
Attribute294,Feature,Continuous,,,,no
Attribute295,Feature,Continuous,,,,no
Attribute296,Feature,Continuous,,,,no
Attribute297,Feature,Continuous,,,,no
Attribute298,Feature,Continuous,,,,no
Attribute299,Feature,Continuous,,,,no
Attribute300,Feature,Continuous,,,,no
Attribute301,Feature,Continuous,,,,no
Attribute302,Feature,Continuous,,,,no
Attribute303,Feature,Continuous,,,,no
Attribute304,Feature,Continuous,,,,no
Attribute305,Feature,Continuous,,,,no
Attribute306,Feature,Continuous,,,,no
Attribute307,Feature,Continuous,,,,no
Attribute308,Feature,Continuous,,,,no
Attribute309,Feature,Continuous,,,,no
Attribute310,Feature,Continuous,,,,no
Attribute311,Feature,Continuous,,,,no
Attribute312,Feature,Continuous,,,,no
Attribute313,Feature,Continuous,,,,no
Attribute314,Feature,Continuous,,,,no
Attribute315,Feature,Continuous,,,,no
Attribute316,Feature,Continuous,,,,no
Attribute317,Feature,Continuous,,,,no
Attribute318,Feature,Continuous,,,,no
Attribute319,Feature,Continuous,,,,no
Attribute320,Feature,Continuous,,,,no
Attribute321,Feature,Continuous,,,,no
Attribute322,Feature,Continuous,,,,no
Attribute323,Feature,Continuous,,,,no
Attribute324,Feature,Continuous,,,,no
Attribute325,Feature,Continuous,,,,no
Attribute326,Feature,Continuous,,,,no
Attribute327,Feature,Continuous,,,,no
Attribute328,Feature,Continuous,,,,no
Attribute329,Feature,Continuous,,,,no
