name,role,type,demographic,description,units,missing_values
molecule_name,Feature,Categorical,,,,no
conformation_name,Feature,Categorical,,,,no
f1,Feature,Integer,,,,no
f2,Feature,Integer,,,,no
f3,Feature,Integer,,,,no
f4,Feature,Integer,,,,no
f5,Feature,Integer,,,,no
f6,Feature,Integer,,,,no
f7,Feature,Integer,,,,no
f8,Feature,Integer,,,,no
f9,Feature,Integer,,,,no
f10,Feature,Integer,,,,no
f11,Feature,Integer,,,,no
f12,Feature,Integer,,,,no
f13,Feature,Integer,,,,no
f14,Feature,Integer,,,,no
f15,Feature,Integer,,,,no
f16,Feature,Integer,,,,no
f17,Feature,Integer,,,,no
f18,Feature,Integer,,,,no
f19,Feature,Integer,,,,no
f20,Feature,Integer,,,,no
f21,Feature,Integer,,,,no
f22,Feature,Integer,,,,no
f23,Feature,Integer,,,,no
f24,Feature,Integer,,,,no
f25,Feature,Integer,,,,no
f26,Feature,Integer,,,,no
f27,Feature,Integer,,,,no
f28,Feature,Integer,,,,no
f29,Feature,Integer,,,,no
f30,Feature,Integer,,,,no
f31,Feature,Integer,,,,no
f32,Feature,Integer,,,,no
f33,Feature,Integer,,,,no
f34,Feature,Integer,,,,no
f35,Feature,Integer,,,,no
f36,Feature,Integer,,,,no
f37,Feature,Integer,,,,no
f38,Feature,Integer,,,,no
f39,Feature,Integer,,,,no
f40,Feature,Integer,,,,no
f41,Feature,Integer,,,,no
f42,Feature,Integer,,,,no
f43,Feature,Integer,,,,no
f44,Feature,Integer,,,,no
f45,Feature,Integer,,,,no
f46,Feature,Integer,,,,no
f47,Feature,Integer,,,,no
f48,Feature,Integer,,,,no
f49,Feature,Integer,,,,no
f50,Feature,Integer,,,,no
f51,Feature,Integer,,,,no
f52,Feature,Integer,,,,no
f53,Feature,Integer,,,,no
f54,Feature,Integer,,,,no
f55,Feature,Integer,,,,no
f56,Feature,Integer,,,,no
f57,Feature,Integer,,,,no
f58,Feature,Integer,,,,no
f59,Feature,Integer,,,,no
f60,Feature,Integer,,,,no
f61,Feature,Integer,,,,no
f62,Feature,Integer,,,,no
f63,Feature,Integer,,,,no
f64,Feature,Integer,,,,no
f65,Feature,Integer,,,,no
f66,Feature,Integer,,,,no
f67,Feature,Integer,,,,no
f68,Feature,Integer,,,,no
f69,Feature,Integer,,,,no
f70,Feature,Integer,,,,no
f71,Feature,Integer,,,,no
f72,Feature,Integer,,,,no
f73,Feature,Integer,,,,no
f74,Feature,Integer,,,,no
f75,Feature,Integer,,,,no
f76,Feature,Integer,,,,no
f77,Feature,Integer,,,,no
f78,Feature,Integer,,,,no
f79,Feature,Integer,,,,no
f80,Feature,Integer,,,,no
f81,Feature,Integer,,,,no
f82,Feature,Integer,,,,no
f83,Feature,Integer,,,,no
f84,Feature,Integer,,,,no
f85,Feature,Integer,,,,no
f86,Feature,Integer,,,,no
f87,Feature,Integer,,,,no
f88,Feature,Integer,,,,no
f89,Feature,Integer,,,,no
f90,Feature,Integer,,,,no
f91,Feature,Integer,,,,no
f92,Feature,Integer,,,,no
f93,Feature,Integer,,,,no
f94,Feature,Integer,,,,no
f95,Feature,Integer,,,,no
f96,Feature,Integer,,,,no
f97,Feature,Integer,,,,no
f98,Feature,Integer,,,,no
f99,Feature,Integer,,,,no
f100,Feature,Integer,,,,no
f101,Feature,Integer,,,,no
f102,Feature,Integer,,,,no
f103,Feature,Integer,,,,no
f104,Feature,Integer,,,,no
f105,Feature,Integer,,,,no
f106,Feature,Integer,,,,no
f107,Feature,Integer,,,,no
f108,Feature,Integer,,,,no
f109,Feature,Integer,,,,no
f110,Feature,Integer,,,,no
f111,Feature,Integer,,,,no
f112,Feature,Integer,,,,no
f113,Feature,Integer,,,,no
f114,Feature,Integer,,,,no
f115,Feature,Integer,,,,no
f116,Feature,Integer,,,,no
f117,Feature,Integer,,,,no
f118,Feature,Integer,,,,no
f119,Feature,Integer,,,,no
f120,Feature,Integer,,,,no
f121,Feature,Integer,,,,no
f122,Feature,Integer,,,,no
f123,Feature,Integer,,,,no
f124,Feature,Integer,,,,no
f125,Feature,Integer,,,,no
f126,Feature,Integer,,,,no
f127,Feature,Integer,,,,no
f128,Feature,Integer,,,,no
f129,Feature,Integer,,,,no
f130,Feature,Integer,,,,no
f131,Feature,Integer,,,,no
f132,Feature,Integer,,,,no
f133,Feature,Integer,,,,no
f134,Feature,Integer,,,,no
f135,Feature,Integer,,,,no
f136,Feature,Integer,,,,no
f137,Feature,Integer,,,,no
f138,Feature,Integer,,,,no
f139,Feature,Integer,,,,no
f140,Feature,Integer,,,,no
f141,Feature,Integer,,,,no
f142,Feature,Integer,,,,no
f143,Feature,Integer,,,,no
f144,Feature,Integer,,,,no
f145,Feature,Integer,,,,no
f146,Feature,Integer,,,,no
f147,Feature,Integer,,,,no
f148,Feature,Integer,,,,no
f149,Feature,Integer,,,,no
f150,Feature,Integer,,,,no
f151,Feature,Integer,,,,no
f152,Feature,Integer,,,,no
f153,Feature,Integer,,,,no
f154,Feature,Integer,,,,no
f155,Feature,Integer,,,,no
f156,Feature,Integer,,,,no
f157,Feature,Integer,,,,no
f158,Feature,Integer,,,,no
f159,Feature,Integer,,,,no
f160,Feature,Integer,,,,no
f161,Feature,Integer,,,,no
f162,Feature,Integer,,,,no
f163,Feature,Integer,,,,no
f164,Feature,Integer,,,,no
f165,Feature,Integer,,,,no
f166,Feature,Integer,,,,no
class,Target,Continuous,,,,no
