name,role,type,demographic,description,units,missing_values
Attribute1,Feature,Continuous,,,,no
Attribute2,Feature,Continuous,,,,no
Attribute3,Feature,Continuous,,,,no
Attribute4,Feature,Continuous,,,,no
Attribute5,Feature,Continuous,,,,no
Attribute6,Feature,Continuous,,,,no
Attribute7,Feature,Continuous,,,,no
Attribute8,Feature,Continuous,,,,no
Attribute9,Feature,Continuous,,,,no
Attribute10,Feature,Continuous,,,,no
Attribute11,Feature,Continuous,,,,no
Attribute12,Feature,Continuous,,,,no
Attribute13,Feature,Continuous,,,,no
Attribute14,Feature,Continuous,,,,no
Attribute15,Feature,Continuous,,,,no
Attribute16,Feature,Continuous,,,,no
Attribute17,Feature,Continuous,,,,no
Attribute18,Feature,Continuous,,,,no
Attribute19,Feature,Continuous,,,,no
Attribute20,Feature,Continuous,,,,no
Attribute21,Feature,Continuous,,,,no
class,Target,Integer,,,,no
